,AAA,AA+,AA,AA(2),AA-
0年,2.517989473684211,2.59798947368421,2.747989473684212,2.8579894736842117,3.0979894736842097
,2.6568070671046415,2.733847078087456,2.8829074799271375,3.0143945672599535,3.260053173231506
,2.7504851352530357,2.8269428301821597,2.9767896118381594,3.120634645622336,3.3687875227631467
,2.8080772147222803,2.8857237461331517,3.0376177273037857,3.186896874857761,3.435967584597424
1个月,2.8386368421052617,2.918636842105261,3.073373684210525,3.22336842105263,3.47336842105263
,2.850764503262946,2.9337257003484094,3.0916684123235054,3.2397538591371458,3.492129375343828
,2.8512484811286263,2.937420167452888,3.098629128922342,3.24382739941672,3.5008469142731826
,2.846424007903678,2.9357466560940804,3.1000121231652713,3.242880661040566,3.50748178553963
3个月,2.8426263157894733,2.934731578947369,3.1015736842105266,3.244205263157894,3.519994736842106
,2.8446815481330425,2.9390039856504755,3.107777999068308,3.2533952593493485,3.54418031223528
,2.85137949286403,2.947603473690488,3.117920846156675,3.269254440921298,3.5771682411967487
,2.86000084905774,2.9581722775168355,3.1300059017456516,3.2888890336115466,3.6139220495598434
6个月,2.867826315789472,2.968352631578947,3.142036842105264,3.309405263157894,3.6494052631578944
,2.8729259160469853,2.9764085215233718,3.1525556111401047,3.3285120607022987,3.679665740846631
,2.8765269684678767,2.983090937785157,3.162257223293063,3.346329179003343,3.7050886735713986
,2.880646115602196,2.9897726219964675,3.1723749606415943,3.363579076223769,3.7271435852999395
9个月,2.887299999999999,2.9978263157894727,3.1841421052631578,3.3809842105263166,3.7473
,2.898359524521112,3.0087744282560336,3.1989400168975894,3.3995709715256677,3.7675264612202986
,2.915112633264457,3.024738038326778,3.218742365934234,3.4215814746442756,3.791787590833446
,2.938701530638731,3.0479878923920283,3.245670900424814,3.4495617667565357,3.8245470302930293
1年,2.970268421052631,3.080794736842105,3.2818473684210523,3.4860578947368417,3.8702684210526312
,3.0097649332369816,3.1239154759788064,3.328059979164273,3.5323675400371375,3.9315136116405958
,3.0523803932111315,3.1720516457498342,3.379762786654211,3.5847949224195546,4.00323727888429
,3.092113551316557,3.2183909400143658,3.4310763060802008,3.6383958962237735,4.078492306685839
2年,3.122963157894734,3.2561210526315776,3.476121052631577,3.6882263157894712,4.150331578947364
,3.141232798452005,3.280876907960314,3.511106990787415,3.730959608457355,4.213582661296256
,3.1524453991541628,3.2980823523580893,3.540601882185753,3.769739493572233,4.270171846260957
,3.1644287213318707,3.315608462682081,3.571262937754372,3.8093272634799398,4.3238001080951785
3年,3.1850105263157857,3.341326315789471,3.6097473684210484,3.8544842105263113,4.378168421052624
,3.2192721295339326,3.3802951487588735,3.6603536695281575,3.908272151133427,4.435903605016458
,3.2613090628037775,3.4263268395546396,3.7179454740764415,3.966954998028337,4.495335862387638
,3.302470412040154,3.47042142636256,3.77502769948124,4.025097188014342,4.553721241196575
4年,3.334105263157892,3.5035789473684193,3.8241052631578913,4.077263157894734,4.608315789473679
,3.350775558412249,3.5204275298989174,3.8607528376788824,4.12055030674576,4.658158017322088
,3.3598946654201822,3.530107657844391,3.8928241162453014,4.16218788273545,4.709416283135828
,3.372088808139077,3.545387904236092,3.9312425472153847,4.211938096304784,4.770041407381654
5年,3.3979842105263174,3.5790368421052663,3.98693157894737,4.27956315789474,4.847984210526318
,3.4444424131328546,3.6390713763823,4.066502742914196,4.370685503462474,4.9474258388530705
,3.50326622288391,3.7145017395941133,4.15931990304761,4.47436847102986,5.057468741911149
,3.5624937632982747,3.789586496166766,4.25043500639406,4.5755356241349485,5.163445695066285
6年,3.6101631578947355,3.848584210526314,4.324899999999998,4.659110526315789,5.25068947368421
,3.6376774864247574,3.8803567014139992,4.372049348559072,4.714385968878038,5.308862969370897
,3.6498996535704924,3.89217880483179,4.39834758735373,4.748131654197749,5.344949538693263
,3.6550575202467708,3.895928611096843,4.414541769313628,4.771486512418585,5.370262654458472
7年,3.6613789473684175,3.9034842105263112,4.431378947368414,4.795589473684205,5.396115789473678
,3.6752323451154756,3.9238174429616928,4.45724706679687,4.829030324972737,5.431182974452807
,3.695548320728843,3.954275146341866,4.491097642274288,4.870202280600182,5.473580471736832
,3.71939803071463,3.9892979081300517,4.529523080825085,4.914949411717008,5.518785101573491
8年,3.743852631578947,4.023326315789473,4.569115789473684,4.959115789473685,5.562273684210525
,3.766241406139641,4.051688905028684,4.6067629599113165,4.998962714783627,5.600274787423114
,3.7849261424614906,4.073266004537571,4.640530922496467,5.032420407612034,5.632023969096227
,3.798526754921018,4.087825891251359,4.668780792254438,5.057836317687058,5.65750853464228
9年,3.8056631578947355,4.095136842105263,4.689873684210523,5.073557894736839,5.676715789473682
,3.80647785269438,4.096398811923568,4.703947639610488,5.078981151419068,5.6909808692757755
,3.807203688372555,4.098538467086792,4.718248404581937,5.077696352109567,5.707030230825612
,3.815596100917085,4.1099141518645155,4.741798651472945,5.074342324113706,5.732938161173169
10年,3.8394105263157896,4.138884210526317,4.783621052631581,5.073557894736842,5.776778947368421
,3.8837087784775735,4.190822508461256,4.849426498094097,5.079743271645357,5.843538330868509
,3.942778182995652,4.259164995536314,4.931678748649463,5.096344183949686,5.925847870759209
,4.008212443384328,4.334363142737952,5.019529782774838,5.126567741121278,6.013250580533464
15年,4.0716052631578945,4.406868421052631,5.102131578947369,5.17362105263158,6.095289473684209
,4.1262845662900665,4.469068226599832,5.170902782486818,5.23911525213108,6.163705116460714
,4.172515158592203,4.521093656031113,5.226328706083372,5.3182775699864235,6.219028286137546
,4.212296066335083,4.565011731131048,5.271161329269818,5.404739260743293,6.263987312745607
20年,4.247626315789475,4.60288947368421,5.308152631578949,5.492131578947368,6.301310526315789
,4.2811866734674275,4.63754356540257,5.34092701011653,5.573687660619795,6.334553209867582
,4.318384866846062,4.674789327707654,5.376598532280214,5.641048167683565,6.370578458374811
,4.36531036364377,4.721191741948384,5.423153683040634,5.685455643537131,6.417076319799898
30年,4.428052631578945,4.783315789473682,5.488578947368416,5.698152631578945,6.48173684210526
